Player,Nationality,Position,Club,Age,Born,90s,SCA,SCA/90,SCA (PassLive),SCA (PassDead),SCA (TO),SCA(Sh),SCA(Fld),SCA(Def),GCA,GCA/90,GCA (PassLive),GCA (PassDead),GCA (TO),GCA (Sh),GCA (Fld),GCA (Def)
Gerard Piqué, ESP,DF,Barcelona,35,1987,2.9,1,0.35,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
Sergio Ramos, ESP,DF,Paris S-G,36,1986,8.0,2,0.25,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
Raphinha, BRA,FW,Barcelona,25,1996,3.3,16,4.86,11,4,0,0,0,1,4,1.22,4,0,0,0,0,0.0
Marco Reus, GER,"MF,FW",Dortmund,33,1989,2.9,6,2.06,4,0,2,0,0,0,2,0.69,1,0,1,0,0,0.0
Gio Reyna, USA,"FW,MF",Dortmund,19,2002,4.3,17,3.99,13,1,2,0,1,0,3,0.7,2,1,0,0,0,0.0
Sergi Roberto, ESP,DF,Barcelona,30,1992,2.3,5,2.18,5,0,0,0,0,0,2,0.87,2,0,0,0,0,0.0
Rodri, ESP,MF,Manchester City,26,1996,11.1,19,1.72,16,1,1,1,0,0,2,0.18,0,0,1,1,0,0.0
Rodrygo, BRA,FW,Real Madrid,21,2001,9.1,32,3.52,21,0,5,3,3,0,8,0.88,4,0,2,1,1,0.0
Tom Rothe, GER,DF,Dortmund,17,2004,0.7,1,1.48,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
Antonio Rüdiger, GER,DF,Real Madrid,29,1993,7.5,3,0.4,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
Fabián Ruiz Peña, ESP,MF,Paris S-G,26,1996,2.6,9,3.4,8,0,1,0,0,0,2,0.76,2,0,0,0,0,0.0
Julian Ryerson, NOR,DF,Dortmund,24,1997,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
Marcel Sabitzer, AUT,MF,Bayern Munich,28,1994,3.1,9,2.9,7,0,0,1,1,0,0,0.0,0,0,0,0,0,0.0
Renato Sanches, POR,MF,Paris S-G,24,1997,1.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
Leroy Sané, GER,"FW,MF",Bayern Munich,26,1996,6.1,33,5.38,25,2,5,0,0,1,4,0.65,2,0,2,0,0,0.0
Alvaro Sanz, ESP,MF,Barcelona,21,2001,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
Pablo Sarabia, ESP,MF,Paris S-G,30,1992,1.0,2,1.98,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0.0
Nico Schlotterbeck, GER,DF,Dortmund,22,1999,6.2,4,0.64,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
Bernardo Silva, POR,"FW,MF",Manchester City,27,1994,10.1,38,3.75,34,1,2,0,1,0,2,0.2,2,0,0,0,0,0.0
Carlos Soler, ESP,MF,Paris S-G,25,1997,1.7,4,2.32,2,0,1,0,1,0,0,0.0,0,0,0,0,0,0.0
Yann Sommer, SUI,GK,Bayern Munich,33,1988,4.0,1,0.25,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
Josip Stanišić, CRO,DF,Bayern Munich,22,2000,3.9,9,2.32,9,0,0,0,0,0,1,0.26,1,0,0,0,0,0.0
John Stones, ENG,"MF,DF",Manchester City,28,1994,7.6,11,1.45,9,2,0,0,0,0,1,0.13,1,0,0,0,0,0.0
Niklas Süle, GER,DF,Dortmund,26,1995,7.5,8,1.07,8,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
Aurélien Tchouaméni, FRA,MF,Real Madrid,22,2000,4.8,7,1.45,6,0,0,1,0,0,1,0.21,1,0,0,0,0,0.0
Mathys Tel, FRA,FW,Bayern Munich,17,2005,1.6,4,2.47,3,0,0,0,1,0,0,0.0,0,0,0,0,0,0.0
Marc-André ter Stegen, GER,GK,Barcelona,30,1992,5.0,1,0.2,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
Pablo Torre, ESP,"MF,FW",Barcelona,19,2003,1.1,1,0.94,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
Ferrán Torres, ESP,"FW,MF",Barcelona,22,2000,2.1,9,4.31,7,0,1,0,0,1,2,0.96,2,0,0,0,0,0.0
Sven Ulreich, GER,GK,Bayern Munich,33,1988,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
Dayot Upamecano, FRA,DF,Bayern Munich,23,1998,7.9,7,0.88,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
Jesús Vallejo, ESP,DF,Real Madrid,25,1997,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
Federico Valverde, URU,"MF,FW",Real Madrid,24,1998,10.7,43,4.0,32,0,3,5,0,3,6,0.56,4,0,1,1,0,0.0
Lucas Vázquez, ESP,DF,Real Madrid,31,1991,2.2,8,3.6,8,0,0,0,0,0,2,0.9,2,0,0,0,0,0.0
Marco Verratti, ITA,MF,Paris S-G,29,1992,6.9,16,2.31,16,0,0,0,0,0,3,0.43,3,0,0,0,0,0.0
Vitinha, POR,MF,Paris S-G,22,2000,6.5,10,1.54,8,0,1,0,1,0,0,0.0,0,0,0,0,0,0.0
Kyle Walker, ENG,"DF,FW",Manchester City,32,1990,3.1,4,1.28,3,0,1,0,0,0,1,0.32,1,0,0,0,0,0.0
Paul Wanner, GER,"DF,FW",Bayern Munich,16,2005,0.4,1,2.5,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
Josh Wilson-Esbrand, ENG,DF,Manchester City,19,2002,0.5,1,1.96,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
Marius Wolf, GER,DF,Dortmund,27,1995,2.0,3,1.53,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0.0
Warren Zaire-Emery, FRA,MF,Paris S-G,16,2006,0.9,2,2.17,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
